state,moisture_percent,time,pump_state,LDR
dry,220,05:50:55,0,76
dry,219,05:51:55,0,143
dry,221,05:52:55,0,135
dry,223,05:53:55,0,121
dry,221,05:54:55,0,85
dry,220,05:55:55,0,119
dry,222,05:56:55,0,50
dry,218,05:57:55,0,150
dry,220,05:58:55,0,113
dry,220,05:59:55,0,147
dry,220,06:00:55,0,877
dry,221,06:01:55,0,898
dry,220,06:02:55,0,885
dry,219,06:03:55,0,890
dry,221,06:04:55,0,856
dry,221,06:05:55,0,0
dry,220,06:06:55,0,875
dry,219,06:07:55,0,866
dry,219,06:08:55,0,880
dry,221,06:09:55,0,887
dry,221,06:10:55,0,899
dry,218,06:11:55,0,887
dry,217,06:12:55,0,851
dry,220,06:13:55,0,865
dry,220,06:14:55,0,809
dry,222,06:15:55,0,851
dry,222,06:16:55,0,871
dry,222,06:17:55,0,827
dry,221,06:18:55,0,854
dry,225,06:19:55,0,859
dry,220,06:20:55,0,875
dry,222,06:21:55,0,897
dry,225,06:22:55,0,842
dry,221,06:23:55,0,-10
dry,224,06:24:55,0,819
dry,223,06:25:55,0,862
dry,223,06:26:55,0,811
dry,224,06:27:55,0,881
dry,221,06:28:55,0,878
dry,224,06:29:55,0,883
dry,227,06:30:55,0,881
dry,227,06:31:55,0,846
dry,224,06:32:55,0,822
dry,223,06:33:55,0,846
dry,223,06:34:55,0,868
dry,224,06:35:55,0,867
dry,227,06:36:55,0,818
dry,229,06:37:55,0,831
dry,231,06:38:55,0,864
dry,229,06:39:55,0,880
dry,227,06:40:55,0,859
dry,225,06:41:55,0,818
dry,232,06:42:55,0,875
dry,230,06:43:55,0,850
dry,229,06:44:55,0,864
dry,232,06:45:55,0,879
dry,231,06:46:55,0,826
dry,230,06:47:55,0,882
dry,232,06:48:55,0,-10
dry,231,06:49:55,0,880
dry,230,06:50:55,0,808
dry,230,06:51:55,0,805
dry,233,06:52:55,0,813
dry,232,06:53:55,0,859
dry,232,06:54:55,0,845
dry,232,06:55:55,0,9999
dry,237,06:56:55,0,864
dry,237,06:57:55,0,876
dry,237,06:58:55,0,883
dry,237,06:59:55,0,833
dry,231,07:00:55,0,893
dry,235,07:01:55,0,881
dry,237,07:02:55,0,891
dry,239,07:03:55,0,937
dry,238,07:04:55,0,877
dry,235,07:05:55,0,849
dry,234,07:06:55,0,0
dry,238,07:07:55,0,844
dry,238,07:08:55,0,921
dry,238,07:09:55,0,910
dry,241,07:10:55,0,934
dry,240,07:11:55,0,864
dry,242,07:12:55,0,933
dry,238,07:13:55,0,854
dry,243,07:14:55,0,0
dry,240,07:15:55,0,856
dry,243,07:16:55,0,861
dry,242,07:17:55,0,843
dry,241,07:18:55,0,865
dry,240,07:19:55,0,923
dry,244,07:20:55,0,839
dry,240,07:21:55,0,935
dry,242,07:22:55,0,923
dry,243,07:23:55,0,9999
dry,247,07:24:55,0,916
dry,244,07:25:55,0,904
dry,244,07:26:55,0,910
dry,245,07:27:55,0,921
dry,247,07:28:55,0,853
dry,245,07:29:55,0,904
dry,245,07:30:55,0,866
dry,244,07:31:55,0,874
dry,251,07:32:55,0,912
dry,249,07:33:55,0,901
dry,251,07:34:55,0,884
dry,249,07:35:55,0,884
dry,247,07:36:55,0,918
dry,246,07:37:55,0,890
dry,248,07:38:55,0,874
dry,250,07:39:55,0,912
dry,246,07:40:55,0,931
dry,251,07:41:55,0,850
dry,249,07:42:55,0,920
dry,251,07:43:55,0,-10
dry,249,07:44:55,0,885
dry,253,07:45:55,0,9999
dry,254,07:46:55,0,914
dry,253,07:47:55,0,927
dry,251,07:48:55,0,877
dry,256,07:49:55,0,918
dry,256,07:50:55,0,901
dry,255,07:51:55,0,937
dry,248,07:52:55,0,899
dry,253,07:53:55,0,864
dry,258,07:54:55,0,901
dry,258,07:55:55,0,903
dry,253,07:56:55,0,890
dry,252,07:57:55,0,881
dry,258,07:58:55,0,888
dry,257,07:59:55,0,910
dry,254,08:00:55,0,888
dry,258,08:01:55,0,965
dry,259,08:02:55,0,966
dry,259,08:03:55,0,971
dry,262,08:04:55,0,893
dry,257,08:05:55,0,890
dry,258,08:06:55,0,886
dry,261,08:07:55,0,917
dry,259,08:08:55,0,951
dry,261,08:09:55,0,912
dry,256,08:10:55,0,946
dry,262,08:11:55,0,938
dry,262,08:12:55,0,891
dry,262,08:13:55,0,894
dry,263,08:14:55,0,953
dry,259,08:15:55,0,9999
dry,263,08:16:55,0,960
dry,264,08:17:55,0,954
dry,263,08:18:55,0,973
dry,261,08:19:55,0,918
dry,262,08:20:55,0,958
dry,265,08:21:55,0,925
dry,265,08:22:55,0,898
dry,263,08:23:55,0,923
dry,266,08:24:55,0,881
dry,267,08:25:55,0,884
dry,267,08:26:55,0,-10
dry,265,08:27:55,0,964
dry,265,08:28:55,0,957
dry,268,08:29:55,0,970
dry,267,08:30:55,0,956
dry,269,08:31:55,0,918
dry,271,08:32:55,0,927
dry,268,08:33:55,0,915
dry,267,08:34:55,0,906
dry,267,08:35:55,0,974
dry,271,08:36:55,0,876
dry,268,08:37:55,0,887
dry,269,08:38:55,0,0
dry,273,08:39:55,0,876
dry,272,08:40:55,0,921
dry,274,08:41:55,0,877
dry,277,08:42:55,0,941
dry,272,08:43:55,0,950
dry,273,08:44:55,0,964
dry,273,08:45:55,0,970
dry,270,08:46:55,0,965
dry,271,08:47:55,0,929
dry,273,08:48:55,0,885
dry,274,08:49:55,0,877
dry,273,08:50:55,0,931
dry,277,08:51:55,0,923
dry,274,08:52:55,0,900
dry,276,08:53:55,0,924
dry,278,08:54:55,0,955
dry,280,08:55:55,0,931
dry,282,08:56:55,0,970
dry,275,08:57:55,0,926
dry,278,08:58:55,0,930
dry,277,08:59:55,0,953
dry,280,09:00:55,0,917
dry,278,09:01:55,0,923
dry,283,09:02:55,0,983
dry,282,09:03:55,0,911
dry,279,09:04:55,0,928
dry,276,09:05:55,0,961
dry,278,09:06:55,0,969
dry,279,09:07:55,0,935
dry,282,09:08:55,0,999
dry,282,09:09:55,0,968
